,GstIn,LongName,PartyBillNo,PartyBillDate,SubGlAcNo,TrnDate,TrnNO,SysTaxableValue,SysCGstAmt,SysSGstAmt,SysIGstAmt,SysInvoiceValue,SysRate,PortalGstIn,PortalLongName,PortalInvoiceNo,PortalInvoiceDate,PortalTrnDate,IsReverse,InvoiceType,PortalRate,PortalTaxableValue,PortalIGstAmt,PortalCGstAmt,PortalSGstAmt,PortalInvoiceValue,PrnTrnNo,PrnTrnDate,MatchStatus,SortDate,SortInvNo,RtnStatus,SysStateName,EmailId,Period,FromDate,ToDate,StrTrnNo,SysInvoiceType,IsMultiple,Gstr1Status,Gstr3BStatus,PrnMonthDate,MonthName
11,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,360/24-25,20240621,1011201016,20240623,101242520611062559,54621.0,4916.0,4916.0,0.0,64453.0,18.0,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,360/24-25,21/06/2024,21/06/2024,No,R,18.0,54621.0,0.0,4915.89,4915.89,64453.0,062559,23/06/2024,Match,20240621,360/24-25,,Maharashtra,shaguncasting@gmail.com,Jun 2024,20240601,20240630,101242520611062559,,0,,,,
12,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,369/24-25,20240622,1011201016,20240622,101242520611062475,28090.8,2528.0,2528.0,0.0,33147.0,18.0,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,369/24-25,22/06/2024,22/06/2024,No,R,18.0,28090.8,0.0,2528.17,2528.17,33147.0,062475,22/06/2024,Match,20240622,369/24-25,,Maharashtra,shaguncasting@gmail.com,Jun 2024,20240601,20240630,101242520611062475,,0,,,,
13,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,,,1011201016,,0,0.0,0.0,0.0,0.0,0.0,0.0,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,CN51/24-25,25/06/2024,25/06/2024,No,Credit Note,18.0,100.0,0.0,9.0,9.0,118.0,,,Mismatch,20240625,,,Maharashtra,shaguncasting@gmail.com,Jun 2024,20240601,20240630,0,,0,,,,
14,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,389/24-25,20240625,1011201016,20240625,101242520611062778,78030.0,7023.0,7023.0,0.0,92076.0,18.0,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,389/24-25,25/06/2024,25/06/2024,No,R,18.0,78030.0,0.0,7022.7,7022.7,92075.0,062778,25/06/2024,Match,20240625,389/24-25,,Maharashtra,shaguncasting@gmail.com,Jun 2024,20240601,20240630,101242520611062778,,0,,,,
15,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,398/24-25,20240627,1011201016,20240628,101242520611063181,39015.0,3511.0,3511.0,0.0,46037.0,18.0,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,398/24-25,27/06/2024,27/06/2024,No,R,18.0,39015.0,0.0,3511.35,3511.35,46038.0,063181,28/06/2024,Match,20240627,398/24-25,,Maharashtra,shaguncasting@gmail.com,Jun 2024,20240601,20240630,101242520611063181,,0,,,,
16,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,414/24-25,20240629,1011201016,20240630,101242520611063427,56181.6,5056.0,5056.0,0.0,66294.0,18.0,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,414/24-25,29/06/2024,29/06/2024,No,R,18.0,56181.6,0.0,5056.34,5056.34,66294.0,063427,30/06/2024,Match,20240629,414/24-25,,Maharashtra,shaguncasting@gmail.com,Jun 2024,20240601,20240630,101242520611063427,,0,,,,
17,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,415/24-25,20240629,1011201016,20240630,101242520611063428,31992.3,2879.0,2879.0,0.0,37750.0,18.0,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,415/24-25,29/06/2024,29/06/2024,No,R,18.0,31992.3,0.0,2879.31,2879.31,37751.0,063428,30/06/2024,Match,20240629,415/24-25,,Maharashtra,shaguncasting@gmail.com,Jun 2024,20240601,20240630,101242520611063428,,0,,,,
18,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,434/24-25,20240702,1011201016,20240703,101242520611070069,78030.0,7023.0,7023.0,0.0,92076.0,18.0,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,434/24-25,02/07/2024,02/07/2024,No,R,18.0,78030.0,0.0,7022.7,7022.7,92075.0,070069,03/07/2024,Match,20240702,434/24-25,,Maharashtra,shaguncasting@gmail.com,Jul 2024,20240701,20240731,101242520611070069,,0,,,,
19,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,446/24-25,20240705,1011201016,20240706,101242520611070374,23409.0,2107.0,2107.0,0.0,27623.0,18.0,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,446/24-25,05/07/2024,05/07/2024,No,R,18.0,23409.0,0.0,2106.81,2106.81,27623.0,070374,06/07/2024,Match,20240705,446/24-25,,Maharashtra,shaguncasting@gmail.com,Jul 2024,20240701,20240731,101242520611070374,,0,,,,
20,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,448/24-25,20240705,1011201016,20240706,101242520611070375,62424.0,5618.0,5618.0,0.0,73660.0,18.0,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,448/24-25,05/07/2024,05/07/2024,No,R,18.0,62424.0,0.0,5618.16,5618.16,73660.0,070375,06/07/2024,Match,20240705,448/24-25,,Maharashtra,shaguncasting@gmail.com,Jul 2024,20240701,20240731,101242520611070375,,0,,,,
21,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,459/24-25,20240707,1011201016,20240709,101242520611070724,126408.6,11377.0,11377.0,0.0,149163.0,18.0,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,459/24-25,07/07/2024,07/07/2024,No,R,18.0,126408.6,0.0,11376.77,11376.77,149162.0,070724,09/07/2024,Match,20240707,459/24-25,,Maharashtra,shaguncasting@gmail.com,Jul 2024,20240701,20240731,101242520611070724,,0,,,,
22,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,476/24-25,20240710,1011201016,20240711,101242520611070950,43696.8,3933.0,3933.0,0.0,51563.0,18.0,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,476/24-25,10/07/2024,10/07/2024,No,R,18.0,43696.8,0.0,3932.71,3932.71,51562.0,070950,11/07/2024,Match,20240710,476/24-25,,Maharashtra,shaguncasting@gmail.com,Jul 2024,20240701,20240731,101242520611070950,,0,,,,
23,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,480/24-25,20240710,1011201016,20240711,101242520611070955,15526.35,1397.0,1397.0,0.0,18320.0,18.0,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,480/24-25,10/07/2024,10/07/2024,No,R,18.0,15526.35,0.0,1397.37,1397.37,18321.0,070955,11/07/2024,Match,20240710,480/24-25,,Maharashtra,shaguncasting@gmail.com,Jul 2024,20240701,20240731,101242520611070955,,0,,,,
24,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,498/24-25,20240712,1011201016,20240713,101242520611071242,39015.0,3511.0,3511.0,0.0,46037.0,18.0,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,498/24-25,12/07/2024,12/07/2024,No,R,18.0,39015.0,0.0,3511.35,3511.35,46038.0,071242,13/07/2024,Match,20240712,498/24-25,,Maharashtra,shaguncasting@gmail.com,Jul 2024,20240701,20240731,101242520611071242,,0,,,,
25,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,500/24-25,20240713,1011201016,20240714,101242520611071364,83492.1,7514.0,7514.0,0.0,98520.0,18.0,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,500/24-25,13/07/2024,13/07/2024,No,R,18.0,83492.1,0.0,7514.29,7514.29,98521.0,071364,14/07/2024,Match,20240713,500/24-25,,Maharashtra,shaguncasting@gmail.com,Jul 2024,20240701,20240731,101242520611071364,,0,,,,
26,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,526/24-25,20240716,1011201016,20240717,101242520611071696,28982.52,2608.0,2608.0,0.0,34199.0,18.0,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,526/24-25,16/07/2024,16/07/2024,No,R,18.0,28982.52,0.0,2608.43,2608.43,34199.0,071696,17/07/2024,Match,20240716,526/24-25,,Maharashtra,shaguncasting@gmail.com,Jul 2024,20240701,20240731,101242520611071696,,0,,,,
27,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,529/24-25,20240717,1011201016,20240718,101242520611071869,71787.6,6461.0,6461.0,0.0,84710.0,18.0,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,529/24-25,17/07/2024,17/07/2024,No,R,18.0,71787.6,0.0,6460.88,6460.88,84709.0,071869,18/07/2024,Match,20240717,529/24-25,,Maharashtra,shaguncasting@gmail.com,Jul 2024,20240701,20240731,101242520611071869,,0,,,,
28,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,533/24-25,20240717,1011201016,20240718,101242520611071870,62424.0,5618.0,5618.0,0.0,73660.0,18.0,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,533/24-25,17/07/2024,17/07/2024,No,R,18.0,62424.0,0.0,5618.16,5618.16,73660.0,071870,18/07/2024,Match,20240717,533/24-25,,Maharashtra,shaguncasting@gmail.com,Jul 2024,20240701,20240731,101242520611071870,,0,,,,
29,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,557/24-25,20240720,1011201016,20240724,101242520611072390,128749.5,11587.0,11587.0,0.0,151924.0,18.0,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,557/24-25,20/07/2024,20/07/2024,No,R,18.0,128749.5,0.0,11587.46,11587.46,151924.0,072390,24/07/2024,Match,20240720,557/24-25,,Maharashtra,shaguncasting@gmail.com,Jul 2024,20240701,20240731,101242520611072390,,0,,,,
30,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,563/24-25,20240721,1011201016,20240724,101242520611072395,46234.02,4161.0,4161.0,0.0,54556.0,18.0,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,563/24-25,21/07/2024,21/07/2024,No,R,18.0,46234.02,0.0,4161.06,4161.06,54556.0,072395,24/07/2024,Match,20240721,563/24-25,,Maharashtra,shaguncasting@gmail.com,Jul 2024,20240701,20240731,101242520611072395,,0,,,,
31,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,588/24-25,20240725,1011201016,20240730,101242520611073068,43696.8,3933.0,3933.0,0.0,51563.0,18.0,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,588/24-25,25/07/2024,25/07/2024,No,R,18.0,43696.8,0.0,3932.71,3932.71,51562.0,073068,30/07/2024,Match,20240725,588/24-25,,Maharashtra,shaguncasting@gmail.com,Jul 2024,20240701,20240731,101242520611073068,,0,,,,
32,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,598/24-25,20240726,1011201016,20240730,101242520611073113,81931.5,7374.0,7374.0,0.0,96680.0,18.0,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,598/24-25,26/07/2024,26/07/2024,No,R,18.0,81931.5,0.0,7373.84,7373.84,96679.0,073113,30/07/2024,Match,20240726,598/24-25,,Maharashtra,shaguncasting@gmail.com,Jul 2024,20240701,20240731,101242520611073113,,0,,,,
33,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,620/24-25,20240728,1011201016,20240730,101242520611073121,85833.0,7725.0,7725.0,0.0,101283.0,18.0,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,620/24-25,28/07/2024,28/07/2024,No,R,18.0,85833.0,0.0,7724.97,7724.97,101283.0,073121,30/07/2024,Match,20240728,620/24-25,,Maharashtra,shaguncasting@gmail.com,Jul 2024,20240701,20240731,101242520611073121,,0,,,,
